"Manufacturer","Model","PR","Top Speed","Acceleration","Braking","Grip","Class","Type","Series","Price","Service Time","Service Cost","Is Available","Has Exclusive Events","In Motorsports","In Road Collection","In Main Career","In Season 1","In Season 2","In Season 3","In Season 4","In Season 5"
"Bugatti","Bolide","96.0","500","2.10","29.0","2.25","S","M4","2","1150 Gold","180","2090","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No"
"Aston Martin","Valkyrie","95.5","367","2.60","21.3","2.53","S","MR","2","1150 Gold","180","2090","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"Rimac","Nevera","93.2","415","1.74","27.3","1.68","S","M4","2","1100 Gold","180","2090","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Aston Martin","Valhalla Concept","92.0","349","2.42","22.9","2.40","S","MR","2","1150 Gold","180","2090","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"Koenigsegg","Gemera","90.7","399","1.90","27.4","1.70","S","M4","2","1100 Gold","180","2090","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Lotus","Evija X","88.5","352","1.89","27.0","1.98","S","M4","2","1100 Gold","180","2062","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"Koenigsegg","Jesko Absolut","88.3","499","2.35","26.2","1.60","S","MR","2","1200 Gold","180","2090","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes"
"Hennessey","Venom F5","84.5","502","2.52","25.9","1.69","S","MR","2","1000 Gold","180","2062","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No"
"Koenigsegg","Jesko","84.1","483","2.50","26.8","1.66","S","MR","4","1100 Gold","180","2062","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes"
"Apollo","Intensa Emozione","84.0","335","2.65","26.2","2.00","S","MR","3","1100 Gold","180","2062","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"Koenigsegg","CC850","83.9","451","2.60","25.9","1.55","S","MR","2","1100 Gold","180","2090","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"Lotus","Evija","83.8","340","2.30","29.3","1.93","S","M4","4","1100 Gold","180","2062","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes"
"McLaren","Solus GT","83.2","322","2.50","25.3","1.80","S","RR","1","1100 Gold","180","2062","Yes","No","No","Yes","No","No","No","No","No","Yes"
"Radical","RXC","83.0","290","2.70","28.3","2.10","S","RR","1","1000 Gold","180","2062","Yes","No","No","Yes","No","No","No","No","No","Yes"
"Automobili Pininfarina","Battista with Furiosa","82.6","349","1.63","28.9","1.60","S","M4","1","1000 Gold","180","2062","Yes","No","No","Yes","No","No","No","No","Yes","No"
"Bugatti","La Voiture Noire","82.3","420","2.35","31.7","1.65","S","M4","2","1000 Gold","180","2062","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No"
"Koenigsegg","Agera RS","82.1","447","2.60","28.3","1.60","S","MR","4","1000 Gold","180","1997","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"Zenvo","Aurora Tur","81.2","451","2.30","31.1","1.45","S","M4","2","900 Gold","180","1997","Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"Koenigsegg","One:1","81.1","439","2.50","25.3","1.75","S","MR","3","1100 Gold","180","2062","Yes","Yes","No","Yes","No","No","Yes","No","No","No"
"Pagani","Huayra R","81.0","386","2.60","28.6","1.70","S","MR","2","950 Gold","180","2037","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
